unique_english,english_gb,spanish
Send feedback,Send feedback,Enviar comentarios
About DreamBox\nLearning,About DreamBox\nLearning,Acerca de DreamBox\nLearning
Help,Help,Ayuda
Skip,Skip,Omitir
Turn background\nmusic OFF,Turn background\nmusic OFF,APAGAR la música\nde fondo
Turn background\nmusic ON,Turn background\nmusic ON,ENCENDER la música\nde fondo
Toggle sound options,Toggle sound options,Alternar opciones de sonido
Pause,Pause,Pausa
Quit,Quit,Salir
Send us your feedback,Send us your feedback,Envíanos tus comentarios
Subject:,Subject:,Asunto:
Feedback:,Feedback:,Comentario:
SEND,SEND,ENVIAR
CANCEL,CANCEL,CANCELAR
Feedback sent.\nThank you!,Feedback sent.\nThank you!,Comentario enviado.\nMuchas gracias.
Sending feedback,Sending feedback,Enviando comentario
watch,watch,observar
practice,practice,practicar
replay,replay,repetir
in progress,in progress,en curso
open,open,abrir
passed,passed,aprobado
locked,locked,bloqueado
exemplary,exemplary,ejemplar
complete,complete,completo
Choose a unit!,Choose a unit!,¡Elige una unidad!
Tutorial,Tutorial,Guía de\naprendizaje
Check In,Check In,Ingresar
Continue\nLevel,Continue\nLevel,Continuar\nnivel
Continue,Continue,Continuar
Start Level,Start Level,Nivel inicial
Start!,Start!,¡Empezar!
Level\nComplete!,Level\nComplete!,¡Nivel\ncompleto!
Tutorial\nComplete!,Tutorial\nComplete!,¡Guía\ncompleta!
Complete!,Complete!,¡Completo!
Correct!,Correct!,¡Correcto!
Oops!,Oops!,¡Uy!
Oops!\nTry Again.,Oops!\nTry Again.,¡Uy! Vuelve\na intentar.
Great effort!,Great effort!,¡Gran esfuerzo!
Good thinking!,Good thinking!,¡Bien pensado!
Good job!,Good job!,¡Buen trabajo!
You’re on a roll!,You’re on a roll!,¡Estás en racha!
Way to go!,Way to go!,¡Bien hecho!
Good work!,Good work!,¡Bravo!
Nice thinking!,Nice thinking!,¡Bien pensado!
Well done!,Well done!,¡Bien hecho!
Excellent!,Excellent!,¡Excelente!
Outstanding!,Outstanding!,¡Fantástico!
You got it!,You got it!,¡Lo lograste!
Yes!!!,Yes!!!,¡Sí!
Way to persevere!,Way to persevere!,¡Sigue adelante!
Great effort!\nYou got it!,Great effort!\nYou got it!,¡Excelente esfuerzo!
You figured it out!,You figured it out!,¡Lo resolviste!
Hard work pays off!,Hard work pays off!,¡No te des por vencido!
Way to keep going!,Way to keep going!,¡Sigue mejorando!
Nice improvement!\nKeep it up!,Nice improvement!\nKeep it up!,¡Estás mejorando!\n¡Sigue así!
Nice!\nYou worked it out!,Nice!\nYou worked it out!,¡Has progresado mucho!
Try again!,Try again!,¡Inténtalo de nuevo!
You can do this!\nTry again!,You can do this!\nTry again!,¡Inténtalo de nuevo!\n¡Tú puedes!
Not quite!\nTry again.,Not quite!\nTry again.,"¡Casi, casi!\n¡inténtalo de nuevo!"
You can get this!,You can get this!,¡Puedes lograrlo!
Almost!,Almost!,¡Casi!
Don’t give up!,Don’t give up!,¡No te rindas!
You’ve got this!\nKeep trying.,You’ve got this!\nKeep trying.,¡Casi lo logras!\n¡No te rindas!
Good effort!\nKeep trying.,Good effort!\nKeep trying.,¡Excelente esfuerzo!\nSigue intentándolo.
Give it another shot!,Give it another shot!,¡Inténtalo de nuevo!
Give it another try!,Give it another try!,¡Inténtalo otra vez!
Let’s look at this together.,Let’s look at this together.,Revisemos esto juntos.
Let’s look at this a different way.,Let’s look at this a different way.,Veamos esto de otro modo.
That’s not quite right.,That’s not quite right.,Eso no está del todo bien.
Something is a little off.,Something is a little off.,Algo no está del todo bien.
Let’s try this together.,Let’s try this together.,Resolvamos esto juntos.
Let’s try this a different way.,Let’s try this a different way.,Resolvamos esto de otro modo.
coins collected,coins collected,monedas acumuladas
badges earned,badges earned,insignias ganadas
stuff unlocked,stuff unlocked,elementos desbloqueados
CONTINUE,CONTINUE,CONTINUAR
nice work!,nice work!,¡buen\ntrabajo!
keep at it!,keep at it!,¡Sigue así!
Close,Close,Cerrar
You are here,You are here,Tú estás aquí
More lessons!,More lessons!,¡Más lecciones!
Recommended,Recommended,Recomendado
Locked lesson,Locked lesson,Lección bloqueada
Locked placement,Locked placement,Colocación bloqueada
Placement,Placement,Colocación
Placement passed,Placement passed,Colocación aprobada
Open for play,Open for play,Habilitado para jugar
In progress,In progress,En curso
Complete,Complete,Completo
Exemplary,Exemplary,Ejemplar
DreamBox is paused.,DreamBox is paused.,DreamBox está en pausa.
Press to start.,Press to start.,Pulsa para empezar.
continue,continue,continuar
exit,exit,salir
resume,resume,continuar
Do you want to quit?,Do you want to quit?,¿Deseas salir?
Do you want to quit DreamBox?,Do you want to quit DreamBox?,¿Deseas salir de DreamBox?
yes,yes,sí
no,no,no
Are you sure you want to leave? You may lose your progress.,Are you sure you want to leave? You may lose your progress.,¿Estás seguro de que quieres salir? Puedes perder lo hecho.
Do not show me this warning again.,Do not show me this warning again.,No volver a mostrar esta advertencia.
Do you want to leave this lesson?,Do you want to leave this lesson?,¿Quieres salir de esta lección?
Completed a tutorial,Completed a tutorial,Se completó una guía de aprendizaje
First level passed,First level passed,Se aprobó el primer nivel
First level with\na gold seal,First level with\na gold seal,Primer nivel con\nmedalla de oro
Passed a challenging\nlevel,Passed a challenging\nlevel,Se aprobó un nivel\n difícil
100 correct answers,100 correct answers,100 respuestas correctas
200 correct answers,200 correct answers,200 respuestas correctas
500 correct answers,500 correct answers,500 respuestas correctas
1000 correct answers,1000 correct answers,1000 respuestas correctas
Streak of 10 correct\nanswers in a row,Streak of 10 correct\nanswers in a row,Tanda de 10 respuestas\ncorrectas seguidas
Streak of 50 correct\nanswers in a row,Streak of 50 correct\nanswers in a row,Tanda de 50 respuestas\ncorrectas seguidas
Streak of 200 correct\nanswers in a row,Streak of 200 correct\nanswers in a row,Tanda de 200 respuestas\ncorrectas seguidas
Returned to DreamBox,Returned to DreamBox,De regreso en DreamBox
Returned to DreamBox\n10 times,Returned to DreamBox\n10 times,De regreso en DreamBox\n10 veces
Returned to DreamBox\n50 times,Returned to DreamBox\n50 times,De regreso en DreamBox\n50 veces
Mastered a unit,Mastered a unit,Dominaste una unidad
Extra time on DreamBox,Extra time on DreamBox,Tiempo extra en DreamBox
Passed 10 levels\nin one session,Passed 10 levels\nin one session,Aprobaste 10 niveles\nen una sesión
Graduated from the\nadventure,Graduated from the\nadventure,Te graduaste en la \naventura
All levels with\ngold seals,All levels with\ngold seals,Todos los niveles con\nmedallas de oro
1 Bronze Star filled,1 Bronze Star filled,1 Estrella de bronce llena
2 Silver Stars filled,2 Silver Stars filled,2 Estrellas de plata llenas
2 Avatars with\n3 Bronze Stars,2 Avatars with\n3 Bronze Stars,2 Avatarеs con\n3 estrellas de bronce
2 Avatars with\n3 Silver Stars,2 Avatars with\n3 Silver Stars,2 Avatarеs con\n3 estrellas de plata
2 Avatars with\n3 Gold Stars,2 Avatars with\n3 Gold Stars,2 Avatarеs con\n3 estrellas de oro
3 Bronze Stars filled,3 Bronze Stars filled,Nivel bronce
3 Silver Stars filled,3 Silver Stars filled,Nivel plata
3 Gold Stars filled,3 Gold Stars filled,Nivel oro
1 Gold Star filled,1 Gold Star filled,1 Estrella de oro llena
2 Gold Stars filled,2 Gold Stars filled,2 Estrellas de oro llenas
1 Silver Star filled,1 Silver Star filled,1 Estrella de plata llena
Made 3 Bronze\nAvatars,Made 3 Bronze\nAvatars,Has hecho 3 avatares\nde nivel bronce
Made 3 Silver\nAvatars,Made 3 Silver\nAvatars,Has hecho 3 avatares\nde nivel plata
Made 3 Gold\nAvatars,Made 3 Gold\nAvatars,Has hecho 3 avatares\nde nivel oro
Made 5 Bronze\nAvatars,Made 5 Bronze\nAvatars,Has hecho 5 avatares\nde nivel bronce
Made 5 Silver\nAvatars,Made 5 Silver\nAvatars,Has hecho 5 avatares\nde nivel plata
Made 5 Gold\nAvatars,Made 5 Gold\nAvatars,Has hecho 5 avatares\nde nivel oro
Made 10 Bronze\nAvatars,Made 10 Bronze\nAvatars,Has hecho 10 avatares\nde nivel bronce
Made 10 Silver\nAvatars,Made 10 Silver\nAvatars,Has hecho 10 avatares\nde nivel plata
Made 10 Gold\nAvatars,Made 10 Gold\nAvatars,Has hecho 10 avatares\nde nivel oro
Made 50 Bronze\nAvatars,Made 50 Bronze\nAvatars,Has hecho 50 avatares\nde nivel bronce
Made 25 Silver\nAvatars,Made 25 Silver\nAvatars,Has hecho 25 avatares\nde nivel plata
Entire Gold Border\nCompleted,Entire Gold Border\nCompleted,Todo el borde\nde oro completo
Gold Border Complete\n+ 5 Gold Tiers,Gold Border Complete\n+ 5 Gold Tiers,Borde de oro completo\n+ 5 niveles de oro
Gold Border Complete\n+ 10 Gold Tiers,Gold Border Complete\n+ 10 Gold Tiers,Borde de oro completo\n+ 10 niveles de oro
Unlocked Minigame:\nJunkyard Stomp,Unlocked Minigame:\nJunkyard Stomp,Minijuego: El Zapateo Del Basurero desbloqueado
Unlocked Minigame:\nFowl Shot,Unlocked Minigame:\nFowl Shot,Minijuego: Huevo al Cesto desbloqueado
Unlocked Minigame:\nSkyscraper Caper,Unlocked Minigame:\nSkyscraper Caper,Minijuego: La Carrera de Rascacielos desbloqueado
Unlocked Minigame:\nToss & Topple,Unlocked Minigame:\nToss & Topple,Minijuego: Tirar y Ganar desbloqueado
Unlocked Nanogame,Unlocked Nanogame,Nanojuego desbloqueado
Junkyard Stomp,Junkyard Stomp,El Zapateo Del Basurero
Skyscraper Caper,Skyscraper Caper,La Carrera de Rascacielos
Fowl Shot,Fowl Shot,Huevo al Cesto
Toss & Topple,Toss & Topple,Tirar y Ganar
"Dear Lizard: Your mission, should you choose to accept it, is to help the city junkyard smash cars! To play this minigame, you will need to unlock stuff. To unlock stuff, you will need to play lessons. Collection items are rare! You will probably find one every few weeks, so keep playing!","Dear Lizard: Your mission, should you choose to accept it, is to help the city junkyard smash cars! To play this minigame, you will need to unlock stuff. To unlock stuff, you will need to play lessons. Collection items are rare! You will probably find one every few weeks, so keep playing!","Estimada Lagartija: ¡Tu misión, si decides aceptarla, es ayudar al basurero de la ciudad a compactar carros! Para jugar a este minijuego, tendrás que desbloquear elementos. Para hacerlo, deberás completar lecciones. ¡Los elementos de colección son muy escasos! ¡Quizás encuentres uno solo en varias semanas, de modo que sigue jugando!"
Mystery game #1,Mystery game #1,Juego de misterio N.º 1
Earn more collection pieces to solve the mystery.,Earn more collection pieces to solve the mystery.,Acumula más piezas de colección para resolver el misterio.
Mystery game #1 unlocked!,Mystery game #1 unlocked!,¡Juego de misterio N.º 1 desbloqueado!
A friendly seagull,A friendly seagull,Una gaviota amistosa
Construction crew hard hat,Construction crew hard hat,Casco del personal de construcción
Foot cream for lizards,Foot cream for lizards,Crema para los pies de lagartijas
An old car tire,An old car tyre,Un viejo neumático
"Dear MVP: Can you crack this case? Be a sport and collect the four items you need to complete your mission. If you do, this?l be a slam dunk! To find collection items, you will need to play lessons. Collection items are rare! You will probably find one every few weeks, so keep playing!","Dear MVP: Can you crack this case? Be a sport and collect the four items you need to complete your mission. If you do, this?l be a slam dunk! To find collection items, you will need to play lessons. Collection items are rare! You will probably find one every few weeks, so keep playing!","Estimado MVP: ¿Puedes resolver este caso? Demuestra tus habilidades y encuentra 4 artículos que necesitas para completar la misión. Si lo haces, será todo un éxito. Para encontrar los artículos de colección, deberás completar lecciones. ¡Artículos son muy escasos! Quizás encuentres uno solo en varias semanas, asique sigue jugando."
A sporty sweatband,A sporty sweatband,Una vincha deportiva
A fowl feather,A fowl feather,Una pluma de ave
A woven basket,A woven basket,Una canasta de mimbre
A special trophy,A special trophy,Un trofeo especial
"Calling all builders: Help expand the city of G?tropolis! Collect the pieces you need to start construction on your very own super skyscraper. Build your building floor by floor, all the way up to space. You need to play lessons to find collection items. They?e rare! You will probably find one every few weeks.","Calling all builders: Help expand the city of G?tropolis! Collect the pieces you need to start construction on your very own super skyscraper. Build your building floor by floor, all the way up to space. You need to play lessons to find collection items. They?e rare! You will probably find one every few weeks.",Llamando a todos los constructores: ¡Ayúdanos a expandir la ciudad de Gitrópolis! Recoge las piezas necesarias para la construcción de tu superrascacielos. Hazlo piso por piso hasta llegar al espacio. Deberás completar lecciones para encontrar los artículos de colección. ¡Son muy escasos! Quizás encuentres uno solo en varias semanas.
A red brick,A red brick,Un ladrillo
Construction jackhammer,Construction jackhammer,Martillo neumático de construcción
A city pigeon,A city pigeon,Una paloma de ciudad
Green paint bucket,Green paint bucket,Un bote de pintura verde
Step right up! Collect the pieces you need to get your game on at the carnival gallery. Toss your bean bag at the targets to knock ?m down and win big.  You need to play lessons to find collection items. They?e rare! You will probably find one every few weeks.,Step right up! Collect the pieces you need to get your game on at the fun fair gallery. Toss your bean bag at the targets to knock ?m down and win big.  You need to play lessons to find collection items. They?e rare! You will probably find one every few weeks.,¡Da un paso al frente! Recoge las piezas que necesitas para jugar en carnaval. Arroja tu bolsa de frijoles a los blancos para derribarlos y ganar. Deberás completar lecciones para encontrar los artículos de colección. ¡Son muy escasos! Quizás encuentres uno solo en varias semanas.
A bunch of balloons,A bunch of balloons,Un manojo de globos
A bean bag,A bean bag,Una bolsa de frijoles
A pink stuffed bear,A pink stuffed bear,Un oso de peluche rosado
A carnival ticket,A fun fair ticket,Un boleto para el carnaval
You've unlocked,You've unlocked,Has desbloqueado
OPEN,OPEN,ABRIR
This game costs NNN coins.\nWould you like to continue?,This game costs NNN coins.\nWould you like to continue?,Este juego cuesta NNN monedas.\n¿Quieres continuar?
log-in icon,log-in icon,icono de inicio de sesión
COLLECTION #NNN,COLLECTION #NNN,COLECCIÓN #NNN
COLLECTIONS,COLLECTIONS,COLECCIONES
MINIGAMES,MINIGAMES,MINIJUEGOS
collections,collections,colecciones
This game is only available on desktop.,This game is only available on desktop.,Juego sólo está disponible en computadora.
cost: ,cost: ,costo:
PLAY,PLAY,JUGAR
Leave Unit,Leave Unit,Abandonar la Unidad
Back to My Lessons,Back to My Lessons,Regresar a lecciones
wallpaper,wallpaper,fondo de pantalla
music,music,música
my stuff,my stuff,mis cosas
my lessons,my lessons,lecciones
Personalize,Personalise,Personalizar
personalize,personalise,personalizar
Collections,Collections,Colecciones
Badges,Badges,insignias
badges,badges,Insignias
"Sports, animals, music and fun. There’s something for everyone! Show off your style on the log-in screen. Choose the icon you’d like to see next to your name when you log in to DreamBox Learning.","Sports, animals, music and fun. There’s something for everyone! Show off your style on the log-in screen. Choose the icon you’d like to see next to your name when you log in to DreamBox Learning.","Deportes, animales, música y diversión. ¡Algo para todos! Muestra tu estilo en la pantalla de inicio de sesión. Elige el icono que quieras que aparezca junto a tu nombre cuando inicias la sesión en DreamBox Learning."
Choose your own tunes to hear between lessons!,Choose your own tunes to hear between lessons!,Elige una melodía y es-\ncúchala entre lecciones.
You’re in charge! Customize your lesson background with favorite wallpapers.,You’re in charge! Customise your lesson background with favourite wallpapers.,¡Tú tienes el control! Personaliza la lección con tu fondo de pantalla favorito.
Cost to\nswitch:\n,Cost to\nswitch:\n,Costo para\ncambiar:\n
Cost to switch: ,Cost to switch: ,Costo para cambiar:
Cost:,Cost:,Costo:
Owned,Owned,Ya lo tengo
Would you like to buy this?,Would you like to buy this?,¿Quieres comprar esto?
Loading\nWallpaper...,Loading\nWallpaper...,Cargando\nel fondo de pantalla...
Preview Song,Preview Song,Escuchar la canción
switch log-in icon,switch log-in icon,cambiar tu icono de inicio de sesión
switch music,switch music,cambiar la música
switch wallpaper,switch wallpaper,cambiar el fondo de pantalla
Replace your current log-in icon...,Replace your current log-in icon...,¿Reemplazar tu icono actual...
Replace your current avatar...,Replace your current avatar...,¿Reemplazar tu icono actual...
Replace your current wallpaper...,Replace your current wallpaper...,¿Reemplazar tu fondo de pantalla actual...
Replace your current music with NAME?,Replace your current music with NAME?,¿Reemplazar tu música actual por NAME?
...with this one?,...with this one?,...por éste?
Would you like to switch icons?,Would you like to switch icons?,¿Quieres cambiar de icono?
Would you like to switch avatars?,Would you like to switch avatars?,¿Quieres cambiar de icono?
Would you like to switch this music?,Would you like to switch this music?,¿Quieres cambiar a esta música?
Would you like to switch wallpapers?,Would you like to switch wallpapers?,¿Quieres cambiar de fondo de pantalla?
Cost to Switch:,Cost to Switch:,Costo del cambio:
HELP,HELP,AYUDA
SKIP,SKIP,OMITIR
NO TOKENS,NO TOKENS,SIN FICHAS
SPEND TOKEN?,SPEND TOKEN?,¿GASTAR LA FICHA?
PAUSED,PAUSED,EN PAUSA
YES,YES,SÍ
NO,NO,NO
Pirates,Pirates,Piratas
Pixies,Pixies,Hadas y Duendes
Dinos,Dinos,Dinos
Pets,Pets,Mascotas
Math Rocks!!!,Maths Rocks!!!,¡Math rocks!
bonus\ncoins!,bonus\ncoins!,¡monedas\nde bono!
This session:,This session:,Esta sesión:
This week:,This week:,Esta semana:
This week,This week,Esta semana
Lessons Completed:,Lessons Completed:,Lecciones completadas:
Lessons Completed,Lessons Completed,Lecciones completadas
School year:,School year:,Año escolar:
Minigame Collection,Minigame Collection,Colección de minijuegos
Collection Pieces For This Minigame,Collection Pieces For This Minigame,Colección de piezas para este minijuego
Congratulations! You have collected all the pieces to unlock this minigame.,Congratulations! You have collected all the pieces to unlock this minigame.,¡Felicidades! Has recogido todas las piezas para desbloquear este minijuego.
This game costs:,This game costs:,Este juego cuesta:
Would you like to continue?,Would you like to continue?, ¿Te gustaría continuar?
Coming Soon!,Coming Soon!, ¡Próximamente!
Avatars,Avatars,Avatares
Choose an avatar or create your own!,Choose an avatar or create your own!,¡Elige un avatar o créate uno propio!
Personalize your DreamBox Learning background with a variety of wallpapers.,Personalise your DreamBox Learning background with a variety of wallpapers.,Personaliza tu fondo de DreamBox Learning con una variedad de fondos de pantalla.
Music Stingers,Music Stingers,Clip de música
Select the tunes you would like to hear between lessons.,Select the tunes you would like to hear between lessons.,Selecciona las melodías que deseas escuchar entre las lecciones.
Wallpaper,Wallpaper,Fondo de pantalla
Buy Avatar,Buy Avatar,Comprar avatar
Buy Music,Buy Music,Comprar música
Buy Wallpaper,Buy Wallpaper,Comprar fondo de pantalla
Switch Avatar,Switch Avatar,Cambiar avatar
Switch Music,Switch Music,Cambiar música
Switch Wallpaper,Switch Wallpaper,Cambiar fondo de pantalla
Preview,Preview,Prevista
Music,Music,Música
Select your custom tunes.,Select your custom tunes.,Selecciona tus melodías personalizadas.
Assignment Complete!,Assignment Complete!,¡Asignación completa!
Did you like this game?,Did you like this game?,¿Te gustó este juego?
Please tell us why.,Please tell us why.,Por favor díganos por qué.
fun,fun,divertido
easy,easy,fácil
long,long,largo
boring,boring,aburrido
hard,hard,dificil
short,short,breve
other,other,otro
quotient,quotient,cociente
product,product,producto
Sample Lesson,Sample Lesson,Lección de muestra
**Closed-captioning turned on.**,**Closed-captioning turned on.**,**Subtítulos cerrados activados.**
<> Weekly Goal,<> Weekly Goal,Meta semanal de <>
Complete 5 Lessons between Sunday - Saturday,Complete 5 Lessons between Sunday - Saturday,Termina 5 Lecciones entre Domingo y Sábado
Hi,Hi,Hola
Here's your Weekly Goal!,Here's your Weekly Goal!,¡Aquí está tu meta semanal!
Start a streak by completing <> lessons a week!,Start a streak by completing <> lessons a week!,"¡Comienza tu racha, completando <> lecciones por semana!"
Streak Started!,Streak Started!,¡Empezaste tu racha!
<> week streak!,<> week streak!,¡<> semana de la racha!
Weekly Time:,Weekly Time:,Tiempo Semanal:
This Week,This Week,Esta semana
This Session,This Session,Esta sesión
Time:,Time:,Tiempo:
<H>h <M>m,<H>h <M>m,<H>h <M>m
Show Keypad,Show Keypad,Mostrar teclado
You have a message!,You have a message!,¡Tienes un mensaje!
Messages,Messages,Mensajes
Feedback,Feedback,Comentario
Teacher,Teacher,Profesor/a
Send DreamBox your feedback.,Send DreamBox your feedback.,Envíe sus comentarios a DreamBox.
(There are no messages.),(There are no messages.),(No hay mensajes.)
(Message text unavailable),(Message text unavailable),(Texto del mensaje no disponible)
Send,Send,Enviar
Choose an icon below to add a message!,Choose an icon below to add a message!,¡Elija un icono para agregar un mensaje!
Sending message,Sending message,Enviando mensaje
Message sent.\nThank you!,Message sent.\nThank you!,Mensaje enviado.\nMuchas gracias.
Something went wrong.\nPlease try again later.,Something went wrong.\nPlease try again later.,Algo salió mal.\nInténtelo de nuevo.
Press the Message button to see your messages. You can send an emoji response or choose an icon to create a new message.,Press the Message button to see your messages. You can send an emoji response or choose an icon to create a new message.,Presione el botón de Mensaje para ver tus mensajes. Puedes responder con un emoji o elegir un ícono para crear un nuevo mensaje.
Messaging Help,Messaging Help,Ayuda de Mensajes
Daily message limit reached.,Daily message limit reached.,Has llegado al límite de mensajes diarios.
<>'s Stats This Year,<>'s Stats This Year,Estadísticas de <> este año
Student's Stats This Year,Pupil's Stats This Year,Estadísticas del estudiante este año
Time Spent,Time Spent,Tiempo invertido
Time Spent:,Time Spent:, Tiempo invertido:
Best Week Streak,Best Week Streak,Mejor racha semanal
lessons,lessons,lecciones
days,days,días
hours,hours,horas
Hours,Hours,Horas
Hour,Hour,Hora
minutes,minutes,minutos
weeks,weeks,semanas
What do you think of this lesson?,What do you think of this lesson?,¿Qué te parece esta lección?
The tasks and hints in this lesson were clear.,The tasks and hints in this lesson were clear.,Las tareas y pistas en esta lección fueron claras.
The lesson helped me understand more.,The lesson helped me understand more.,La lección me ayudó a entender más.
The tools in this lesson were easy to use.,The tools in this lesson were easy to use.,Las herramientas en esta lección fueron fáciles de usar.
I liked the look and feel of the lesson.,I liked the look and feel of the lesson.,Me gusto el aspecto y la funcionalidad de la lección.
How are we feeling today?,How are we feeling today?,¿Cómo nos sentimos hoy?
I understand the learning goals of DreamBox.,I understand the learning goals of DreamBox.,Entiendo las metas de aprendizaje de DreamBox.
I receive the feedback I need to succeed.,I receive the feedback I need to succeed.,Recibo los comentarios necesarios para tener éxito.
I am encouraged by the improvement of my skills.,I am encouraged by the improvement of my skills.,Me siento motivado con la mejora de mis habilidades.
I liked the graphics and images of DreamBox.,I liked the graphics and images of DreamBox.,Me gustaron los gráficos y las imágenes de DreamBox.
I had fun while playing DreamBox.,I had fun while playing DreamBox.,Me divertí jugando DreamBox.
DreamBox makes me feel like I can get smarter.,DreamBox makes me feel like I can get smarter.,Con DreamBox siento que puedo volverme más listo.
You can get smarter if you work harder.,You can get smarter if you work harder.,Puedes volverte más listo si trabajas duro.
DreamBox makes me feel like I can learn hard things.,DreamBox makes me feel like I can learn hard things.,Con DreamBox siento que puedo aprender a resolver problemas difíciles.
Definitely No,Definitely No,Totalmente en desacuerdo
A Little No,A Little No,En desacuerdo
A Little Yes,A Little Yes,De acuerdo
Definitely Yes,Definitely Yes,Totalmente de acuerdo
Submit,Submit,Enviar
<>'s Achievements This Year,<>'s Achievements This Year,Logros de este año de <>
Student's Achievements This Year,Pupil's Achievements This Year,Logros del estudiante durante este año
Domains,Domains,Dominios
Progress,Progress,Progreso
achieved,achieved,logrado
future,future,futuro
Yesterday,Yesterday,Ayer
<> days ago,<> days ago,Hace <> días
Not played,Not played,No iniciadas
In Progress,In Progress,En curso
Not Played,Not Played,No iniciadas
Today,Today,Hoy
Key,Key,Llave
Exploring & Sense-Making,Exploring & Sense-Making,Exploración y dar sentido
Looking for Structure & Relationships,Looking for Structure & Relationships,Búsqueda de estructura y relaciones
"Fluency, Application & Procedural Skills","Fluency, Application & Procedural Skills","Habilidades de fluidez, aplicación y procesales"
Assigned,Assigned,Asignado
Assignment Complete,Assignment Complete,Tarea completada
Give lesson feedback,Give lesson feedback,Califica la lección
Thanks for the feedback,Thanks for the feedback,Gracias
Captions,Captions,Subtítulos
Sound,Sound,Sonido
Settings,Settings,Ajustes
Check back soon!,Check back soon!,¡Vuelve pronto!
Come back...,Come back...,¡Vuelve...
and make DreamBox your own!,and make DreamBox your own!,y haz DreamBox tuyo!
This area is not currently available.,This area is not currently available.,Ahora mismo esta área no está disponible.
tomorrow,tomorrow,mañana
in about <> days,in about <> days,en unos <> dias
in about <> hours,in about <> hours,en unas <> horas
in about an hour,in about an hour,en aproximadamente una hora
in 1 hour and <> minutes,in 1 hour and <> minutes,en una hora y <> minutos
in 1 hour and 1 minute,in 1 hour and 1 minute,en una hora y 1 minuto
in about <> minutes,in about <> minutes,en unos <> minutos
in 1 minute and <> seconds,in 1 minute and <> seconds,en un minuto y <> segundos
in about a minute,in about a minute,en aproximadamente un minuto
in about <m> minutes and <s> seconds,in about <m> minutes and <s> seconds,en unos <m> minutos y <s> segundos
in about <> seconds,in about <> seconds,en unos <> segundos
Video,Video,Video
New,New,Nuevo
Due Soon,Due Soon,Vence pronto
Due on,Due on,Vence el
Due Now,Due Now,Vence Ahora
Due in,Due in,Vence en
Due Tomorrow,Due Tomorrow,Vence Mañana
Sunday,Sunday,Domingo
Monday,Monday,Lunes
Tuesday,Tuesday,Martes
Wednesday,Wednesday,Miércoles
Thursday,Thursday,Jueves
Friday,Friday,Viernes
Saturday,Saturday,Sábado
Nanogame,Nanogame,Nanojuego
Brain Break,Brain Break,Pausa Mental
Use <space bar> or <enter>  to interact with something.,Use <space bar> or <enter>  to interact with something.,Usa la <barra espaciadora> o <enter> para interactuar con algo.
Use <tab> or <shift> + <tab> to move around the screen.,Use <tab> or <shift> + <tab> to move around the screen.,Usa <tab> o <shift> + <tab> para moverse dentro de la pantalla.
Use <←> <↑> and <→> <↓> to move inside a group <group>,Use <←> <↑> and <→> <↓> to move inside a group <group>,Usa <←> <↑> y <→> <↓> para moverse dentro de un grupo <group>
Use <esc> to exit an action.,Use <esc> to exit an action.,Usa <esc> para cancelar una acción.
Use <del> to remove an object.,Use <del> to remove an object.,Usa <del> para eliminar un objeto.
Keyboard Info,Keyboard Info,Información sobre el teclado
Skip to Content,Skip to Content,Ir a la lección
Recommendations,Recommendations,Recomendaciones
Assignments,Assignments,Tareas
Assignments Complete,Assignments Complete,Tareas completadas
Lessons completed this week:,Lessons completed this week:,Lecciones completadas esta semana:
Color Theme,Colour Theme,Tema cromático
Customize your DreamBox colors.,Customise your DreamBox colours.,Personaliza los colores de tu cuenta de DreamBox.
Primary Color,Primary Colour,Color primario
Accent Color,Accent Colour,Color de realce
Skin,Skin,Piel
Hair,Hair,Pelo
Eyes,Eyes,Ojos
Eyebrows,Eyebrows,Cejas
Glasses,Glasses,Anteojos
Mouth,Mouth,Boca
Avatar Editor, Avatar Editor, Editor de avatares
Build on Your Skills,Build on Your Skills,Desarrolla tus habilidades
Close Out Skill,Close Out Skill,Completa la habilidad
Try Something Different,Try Something Different,Prueba algo diferente
